ID,Likes,Listed,Photos,Price,Rating,Rating Signals,Tips
4c8c8674f87e224b44f63505,171.0,69,180,3.0,7.6,253.0,46
4c4b4c455609c9b684fdf090,31.0,30,45,2.0,7.0,48.0,9
533dcfe5498edcd0ad2ce6ec,18.0,4,24,,6.7,28.0,9
4c13d26882a3c9b6032afcf8,39.0,22,51,2.0,6.8,63.0,16
58e7664004ab1a3940fc213a,9.0,0,5,,7.4,11.0,2
4c473b8b89a6c9b6818c9988,19.0,5,46,2.0,7.2,26.0,6
513787f6e4b0539581cbd70e,2.0,0,0,2.0,,,1
4b05884ff964a520e6bd22e3,21.0,19,73,2.0,6.8,35.0,7
4c433bd7d691c9b6c9738f0a,3.0,0,4,,,,3
51e2e7ed498e1f837af61e19,0.0,0,0,1.0,,,0
4b5895e5f964a520ab5f28e3,12.0,12,24,2.0,5.3,31.0,11
536bd9a5498ef43e3d25814f,37.0,24,10,2.0,8.1,52.0,15
4b0a5353f964a520412323e3,13.0,2,16,2.0,6.7,23.0,7
586e620e409f5646d4b5686c,0.0,0,1,1.0,,,0
4db947ae8154ce84dc23c355,9.0,4,5,1.0,7.8,14.0,6
568edbd3498e9d5aa0e801f7,1.0,0,9,2.0,,,0
4dcd72f745ddbe15f86ff423,3.0,0,1,2.0,,,0
5dc56d83285a3b0008b965a9,0.0,0,0,2.0,,,0
4ba36f30f964a520bd3c38e3,73.0,59,55,2.0,7.8,109.0,28
4b40b6f0f964a52036ba25e3,94.0,18,93,2.0,6.4,166.0,41
4c3618293849c928c170bbb1,25.0,12,40,2.0,7.2,38.0,12
4c36fcc6298e9c74eddf07e3,11.0,0,5,2.0,6.0,22.0,5
53020ff411d2af3dd6daa87b,1.0,0,0,,,,0
4b9925def964a520c36435e3,5.0,0,8,2.0,5.9,10.0,3
4ccf14c6ba0a548155834c59,1.0,0,1,2.0,,,0
5dadaa1ce5550800084ebb36,0.0,2,0,2.0,,,0
50dee957e4b0e3d2b90ed8ea,65.0,70,36,2.0,8.4,95.0,24
4b2a1c27f964a52048a524e3,284.0,442,115,2.0,8.9,410.0,112
5245ed0611d2ba65864e2450,0.0,0,0,,,,0
4b5059a1f964a5200b2127e3,10.0,2,4,2.0,6.9,17.0,8
4d76123d74eca093a66fb6a8,0.0,0,0,2.0,,,0
4c19f63f6a21c9b62349cb97,7.0,3,9,,7.3,10.0,2
5079a613e4b03bba606c7884,2.0,0,0,,,,0
5603d263498e647352e761e9,1.0,0,0,,,,0
51293db9e4b0c51f96fa6ba1,1.0,0,0,1.0,,,0
5346d064498ee8313e83c5c1,1.0,0,0,,,,0
55f85c8d498eae76ab5e2528,1.0,0,0,2.0,,,0
4e32e5b0d22d630c23d7516b,2.0,1,1,2.0,,,1
5b36763266fc65003703df22,2.0,1,0,2.0,,,1
4fad34dce4b0bcc0c1926b6d,0.0,0,0,2.0,,,0
4b8d6134f964a5203df832e3,1.0,2,0,2.0,,,3
4be5d0bad4f7c9b6f4f82520,11.0,9,6,2.0,7.9,16.0,4
4f3c0b23e4b0e05bd014f179,1.0,1,0,2.0,,,0
4fdb1565e4b0397f0263fe6b,54.0,4,106,2.0,7.6,86.0,20
4b06de73f964a520def122e3,45.0,15,15,2.0,8.3,62.0,15
4b8ec035f964a520e13433e3,15.0,5,13,2.0,6.3,30.0,11
5813730338fab453be6f858b,2.0,0,13,,,,0
4daaf1cc43a11281970391ae,36.0,12,71,,6.2,61.0,16
504cd68fe4b05763ea511792,0.0,1,0,1.0,,,0
4bcc7466fb84c9b6775c203e,42.0,17,57,2.0,6.7,75.0,18
50ad1acde4b0fcc4d77e8ad0,0.0,0,0,1.0,,,0
5ca78e3b56c89f0039d4b828,1.0,0,1,2.0,,,0
4eb446216c2590eb878bda94,216.0,70,171,1.0,7.9,331.0,78
4c22435313c00f477f3287de,17.0,5,13,1.0,7.3,31.0,8
4cc565a1c844721e549aee01,0.0,0,1,2.0,,,0
